,Gemeinde,Kanton,Translation
19,Aesch bei Birmensdorf,ZH_x001D_,Aesch (ZH)
61,Nussbaumen,TG_x001D_,Hüttwilen
60,Lanzenneunforn,TG_x001D_,Herdern
45,Nesslau-Krummenau,SG_x001D_,Nesslau-Krummenau
44,Krummenau,SG_x001D_,Nesslau-Krummenau
137,KŸssnacht am Rigi,SZ_x001D_,Küssnacht (SZ)
139,Selkingen,VS_x001D_,Grafschaft
146,Ausserbinn,VS_x001D_,Ernen
231,Biel (BE),BE_x001D_,Biel/Bienne
468,Courtion,FR_x001D_,Misery-Courtion
495,Pazzallo,TI_x001D_,Lugano
534,Lodano,TI_x001D_,Maggia
539,Moghegno,TI_x001D_,Maggia
544,Someo,TI_x001D_,Maggia
525,Giumaglio,TI_x001D_,Maggia
515,Aurigeno,TI_x001D_,Maggia
522,Coglio,TI_x001D_,Maggia
559,Niederwichtrach,BE_x001D_,Wichtrach
562,Zimmerwald,BE_x001D_,Wald (BE)
561,Oberwichtrach,BE_x001D_,Wichtrach
874,Gandria,TI_x001D_,Lugano
878,Hofstetten bei Elgg,ZH_x001D_,Hofstetten (ZH)
880,Brienz (GR),GR_x001D_,Brienz/Brinzauls
904,St.Niklaus,VS_x001D_,St. Niklaus
968,Osterfingen,SH_x001D_,Wilchingen
1009,Estavannens,FR_x001D_,Bas-Intyamon
1007,Albeuve,FR_x001D_,Haut-Intyamon
1013,Lessoc,FR_x001D_,Haut-Intyamon
1403,Hauterive,NE_x001D_,Hauterive (FR)
1423,Marolta,TI_x001D_,Acquarossa
1428,Ponto Valentino,TI_x001D_,Acquarossa
1414,Castro,TI_x001D_,Acquarossa
1420,Lottigna,TI_x001D_,Acquarossa
1458,Prato-Sornico,TI_x001D_,Lavizzara
1457,Peccia,TI_x001D_,Lavizzara
1451,Menzonio,TI_x001D_,Lavizzara
1442,Brontallo,TI_x001D_,Lavizzara
1441,Broglio,TI_x001D_,Lavizzara
1447,Fusio,TI_x001D_,Lavizzara
1876,Santa Maria Val MÃ¼stair,GR_x001D_,Sta. Maria Val MŸstair
1948,Feschel,VS_x001D_,Guttet-Feschel
2038,Avry-sur-Matran,FR_x001D_,Avry
2217,Mettendorf,TG_x001D_,Hüttlingen
2099,Billens,FR_x001D_,Billens-Hennens
2102,Lussy (FR),FR_x001D_,Villaz-Saint-Pierre
2153,RÃ¼thi (Rheintal),SG_x001D_,Rüthi (Rheintal)
2481,Schinznach Dorf,AG_x001D_,Schinznach-Dorf
2521,Saint-Sulpice,NE_x001D_,Lausanne
3076,Eschikofen,TG_x001D_,Hüttlingen
3099,Auressio,TI_x001D_,Isorno
3104,Berzona,TI_x001D_,Isorno
3091,Sitterdorf,TG_x001D_,Zihlschlacht-Sitterdorf
3190,Geschinen,VS_x001D_,Münster-Geschinen
3193,MÃ¼nster (VS),VS_x001D_,Münster-Geschinen
3131,Leontica,TI_x001D_,Acquarossa
3119,Corzoneso,TI_x001D_,Acquarossa
3121,Dongio,TI_x001D_,Acquarossa
3157,Prugiasco,TI_x001D_,Acquarossa
2746,HŠtzingen,GL_x001D_,
3268,Montbovon,FR_x001D_,Haut-Intyamon
3276,Enney,FR_x001D_,Bas-Intyamon
3282,Montet (Broye),FR_x001D_,Les Montets
3377,Ried-MÃ¶rel,VS_x001D_,Riederalp
3442,Viganello,TI_x001D_,Lugano
3438,Pregassona,TI_x001D_,Lugano
3433,Breganzona,TI_x001D_,Lugano
3562,Villars-sous-Mont,FR_x001D_,Bas-Intyamon
3561,Orsonnens,FR_x001D_,Villorsonnens
3560,La Neirigue,FR_x001D_,Vuisternens-devant-Romont
3559,EstÃ©venens,FR_x001D_,Vuisternens-devant-Romont
3765,Fontaines,NE_x001D_,Fontaines (NE)
3829,Steinhaus,VS_x001D_,Ernen
3798,Vilters,SG_x001D_,Vilters-Wangs
3878,Schinznach Bad,AG_x001D_,Brugg
4119,Arrissoules,VD_x001D_,Rovray
4118,Vesin,FR_x001D_,Cugy (FR)
4112,Granges-de-Vesin,FR_x001D_,Les Montets
4110,Aumont,FR_x001D_,Les Montets
4263,Barzheim,SH_x001D_,Thayngen
4271,Unterschlatt,TG_x001D_,Schlatt (TG)
4722,Montagnola,TI_x001D_,Collina d'Oro
4708,Davesco-Soragno,TI_x001D_,Lugano
4744,Gentilino,TI_x001D_,Lugano
4881,Largario,TI_x001D_,Acquarossa
4988,Uors-Peiden,GR_x001D_,Vrin
5230,Loco,TI_x001D_,Onsernone
5200,Tersnaus,GR_x001D_,Suraua
5609,Boudry_x000B_,NE_x001D_,Boudry
5618,Liebistorf,FR_x001D_,Gurmels
5679,Stalden,VS_x001D_,Stalden (VS)
5684,Montagny-la-Ville,FR_x001D_,Montagny (FR)
5752,Porsel,FR_x001D_,Le Flon
5863,Neirivue,FR_x001D_,Haut-Intyamon
5865,La Joux (FR),FR_x001D_,Vuisternens-devant-Romont
5967,Cormagens,FR_x001D_,La Sonnaz
6096,Kulmerau,LU_x001D_,Triengen
6087,Urtenen,BE_x001D_,Urtenen-SchšnbŸhl
6322,Bosco Luganese,TI_x001D_,Bioggio
6357,Le Bry,FR_x001D_,Pont-en-Ogoz
6718,Camuns,GR_x001D_,Suraua
7047,Biel (VS),VS_x001D_,Grafschaft
7062,Gluringen,VS_x001D_,Reckingen-Gluringen
7090,Ritzingen,VS_x001D_,Grafschaft
7088,Reckingen (VS),VS_x001D_,Reckingen
7140,Delley,FR_x001D_,Delley
7153,Portalban,FR_x001D_,Portalban
8016,SÃ¢les (GruyÃ¨re),FR_x001D_,S‰les
8013,Promasens,FR_x001D_,Rue
8009,Maules,FR_x001D_,S‰les
8005,Hennens,FR_x001D_,Billens-Hennens
8284,Le CrÃªt,FR_x001D_,La Verrerie
8515,Port-Valais,VS_x001D_,Port-Valais
8526,Saint-Gingolph,VS_x001D_,Saint-Gingolph
8882,Chapelle (Broye),FR_x001D_,Cheiry
8918,ZÃ©nauva,FR_x001D_,Le Mouret
8914,MontÃ©vraz,FR_x001D_,Le Mouret
8912,Essert (FR),FR_x001D_,Le Mouret
8911,Bonnefontaine,FR_x001D_,Le Mouret
8915,Oberried (FR),FR_x001D_,Le Mouret
9334,Wallenwil,TG_x001D_,Eschlikon
9923,Basadingen,TG_x001D_,Basadingen-Schlattingen
9941,Niederwil (TG),TG_x001D_,Gachnang
9931,Kefikon,TG_x001D_,Gachnang
10104,Gumefens,FR_x001D_,Pont-en-Ogoz
10125,Misery,FR_x001D_,Misery-Courtion
10292,Champmartin,VD_x001D_,Cudrefin
10309,Wilihof,LU_x001D_,Triengen
10472,Altdorf,UR_x001D_,Altdorf (UR)
10500,Hergiswil,NW_x001D_,Hergiswil (NW)
10670,Diesbach (GL),GL_x001D_,Glarus
10902,Berlens,FR_x001D_,M�ti�res (FR)
10904,Chavannes-les-Forts,FR_x001D_,Siviriez
10956,Herlisberg,LU_x001D_,Hochdorf
10996,Rickenbach bei Wil,TG_x001D_,Rickenbach (TG)
11048,Agra,TI_x001D_,Collina d'Oro
11128,Monte,TI_x001D_,Castel San Pietro
11120,Casima,TI_x001D_,Mendrisio
11305,Vauderens,FR_x001D_,Ursy
11415,Hausen bei Brugg,AG_x001D_,Hausen (AG)
11525,Vaglio,TI_x001D_,Capriasca
11648,Vezio,TI_x001D_,Alto Malcantone
11652,Cagiallo,TI_x001D_,Capriasca
11720,Mühlethal,AG_x001D_,Zofingen
12238,Bezirk  Dietikon,ZH_x001D_,KICK
12227,Wiezikon,TG_x001D_,Sirnach
12669,Stein (Toggenburg),SG_x001D_,Stein (SG)
12783,Balterswil-Bichelsee,TG_x001D_,M�nchwilen (TG)
12967,"Regionen Luganese, Bellinzonese, Locarnese",TI_x001D_,KICK
12972,Praroman,FR_x001D_,Le Mouret
12999,Donath,GR_x001D_,Donat
13070,"Regionen Leventina, Bleniotal, Riviera",TI_x001D_,KICK
13114,Bezirk Glâne,FR_x001D_,KICK
13130,Region Locarnese,TI_x001D_,KICK
13258,Fribourg_x000B_,FR_x001D_,Fribourg
13384,Tobel,TG_x001D_,Tobel-T�gerschen
13335,Tinizong,GR_x001D_,Tinizong-Rona
13566,Mühlebach,VS_x001D_,Ernen
13544,Greich,VS_x001D_,Raron
13542,Goppisberg,VS_x001D_,Riederalp
13637,Robasacco,TI_x001D_,Cadenazzo
13638,Tesserete,TI_x001D_,Capriasca
13661,Cimo,TI_x001D_,Bioggio
13742,Montagny-les-Monts,FR_x001D_,Montagny (FR)
13931,Lopagno,TI_x001D_,Capriasca
13971,Oberdorf,NW_x001D_,Oberdorf (NW)
13976,Meiringen ,BE_x001D_,Meiringen ?????
14096,Cureggia,TI_x001D_,Lugano
14309,Zihlschlacht,TG_x001D_,Zihlschlacht-Sitterdorf
14329,Thun (Bezirk),BE_x001D_,KICK
14438,Posieux,FR_x001D_,Hauterive (FR)
14449,Nyon (Bezirk),VD_x001D_,Nyon
14472,Romainmôtier - Envy,VD_x001D_,Romainm�tier-Envy
14457,Perly - Certoux,GE_x001D_,Perly-Certoux
14532,Riom - Parsonz,GR_x001D_,Riom-Parsonz
14656,Salorino,TI_x001D_,Mendrisio
14811,Röthenbach bei H.,BE_x001D_,R�thenbach bei Herzogenbuchsee
14929,Bezirk Zurzach,AG_x001D_,KICK
14926,Bezirk Bremgarten (AG),AG_x001D_,KICK
14927,Bezirk Kulm,AG_x001D_,KICK
14928,Bezirk Lenzburg,AG_x001D_,KICK
15004,Bezirk Reiat,SH_x001D_,KICK
15003,Bezirk Oberklettgau,SH_x001D_,KICK
15113,Villarimboud,FR_x001D_,Romont (FR)
15106,Ecuvillens,FR_x001D_,Hauterive (FR)
15144,Chavannes-sous-Orsonnens,FR_x001D_,Villorsonnens
15204,Salen-Reutenen,TG_x001D_,Homburg
15618,Schwarzenbach,LU_x001D_,Berom�nster
15446,Englisberg,BE_x001D_,Wald (BE)
16082,Wilen bei Wil,TG_x001D_,Wilen (TG)
16209,Schlatt,ZH_x001D_,Schlatt (ZH)
16606,Torny-le-Grand,FR_x001D_,Torny
16820,Sala Capriasca,TI_x001D_,Capriasca
17193,Guschelmuth,FR_x001D_,Gurmels
17188,Cournillens,FR_x001D_,Misery-Courtion
17296,Middes,FR_x001D_,Torny
17287,Courtaman,FR_x001D_,Courtepin
18665,Pambio-Noranco,TI_x001D_,Lugano
19072,Frasnacht,TG_x001D_,Arbon
20187,Oberhofen bei Kreuzlingen,TG_x001D_,Lengwil
21005,Lentigny,FR_x001D_,La Brillaz
21006,Mannens-Grandsivaz,FR_x001D_,Montagny (FR)
21033,Arosio,TI_x001D_,Alto Malcantone
21561,Tägerschen,TG_x001D_,Tobel-T�gerschen
21936,Rona,GR_x001D_,Tinizong-Rona
22088,Biel,BE_x001D_,Biel/Bienne
22398,Fiaugères,FR_x001D_,Saint-Martin (FR)
22401,Mossel,FR_x001D_,Ursy
22890,La Corbaz,FR_x001D_,La Sonnaz
23101,St. Peterzell ,SG_x001D_,St. Peterzell
23240,Lussery,VD_x001D_,Lussery-Villars
23220,Échallens,VD_x001D_,Echallens
23185,Carouge,GE_x001D_,Carouge (GE)
23182,Romont,FR_x001D_,Romont (FR)
23178,Cottens,FR_x001D_,Cottens (FR)
23284,La Chaux,VD_x001D_,Morges
23347,Port Valais,VS_x001D_,Port-Valais
23448,Schüpfen ,BE_x001D_,Sch�pfen
23499,Mugena ,TI_x001D_,Alto Malcantone
23498,Monteggio ,TI_x001D_,Ponte Tresa
23490,Fescoggia ,TI_x001D_,Alto Malcantone
23474,Astano ,TI_x001D_,Astano
23476,Bedigliora ,TI_x001D_,Bedigliora
23485,Camignolo ,TI_x001D_,Camignolo
23481,Breno,TI_x001D_,Alto Malcantone
23516,St.Gallen,SG_x001D_,St. Gallen
23526,St.Margrethen,SG_x001D_,St. Margrethen
23522,St.Ursen,FR_x001D_,St. Ursen
23521,St.Antoni,FR_x001D_,St. Antoni
23545,Küssnacht,SZ_x001D_,K�ssnacht (SZ)
23638,Isérable,VS_x001D_,Is�rables
23735,Mezzovico,TI_x001D_,Mezzovico-Vira
23841,Diesbach,GL_x001D_,Glarus
23912,Villarlod,FR_x001D_,Le Gl�be
23946,Zuzwil,SG_x001D_,Zuzwil (SG)
24207,Schlattingen,TG_x001D_,Basadingen-Schlattingen
24201,Illighausen,TG_x001D_,Lengwil
24198,Gündelhart-Hörhausen,TG_x001D_,Homburg
24418,Cormérod,FR_x001D_,Misery-Courtion
24508,Rueyres-Saint-Laurent,FR_x001D_,Le Gl�be
24579,Bussy,FR_x001D_,Bussy (FR)
24724,Metzerlen,SO_x001D_,Metzerlen-Mariastein
24955,Islikon,TG_x001D_,Gachnang
24817,Cortebert,BE_x001D_,Cort�bert
25471,Vuippens,FR_x001D_,Vuippens
25469,St.Silvester,FR_x001D_,St. Silvester
25562,Busswil (TG),TG_x001D_,Sirnach
25570,Mett-Oberschlatt,TG_x001D_,Schlatt (TG)
25717,Lossy-Formangueires,FR_x001D_,La Sonnaz
25891,Corpataux,FR_x001D_,Corpataux-Magnedens
26077,Bassecourt ,JU_x001D_,Bassecourt
26057,Brienz,BE_x001D_,Brienz (BE)
26162,Avry-devant-Pont,FR_x001D_,Pont-en-Ogoz
26302,Wohlen,AG_x001D_,Wohlen (AG)
26371,Grattavache,FR_x001D_,La Verrerie
26382,Pont (Veveyse),FR_x001D_,Le Flon
26714,Feldbrunnen-St.Niklaus,SO_x001D_,Feldbrunnen-St. Niklaus
26898,Progens,FR_x001D_,La Verrerie
26881,St.Stephan,BE_x001D_,St. Stephan
27004,Wallenbuch,FR_x001D_,Gurmels
27671,Soyhiéres,JU_x001D_,Soyhi�res
27707,Mugena,TI_x001D_,Alto Malcantone
28187,Villarsel-le-Gibloux,FR_x001D_,Le Gl�be